time,c,m,value
4.774624,0.500000,0.300000,0.164494
4.808013,0.500000,0.300000,0.163526
4.841402,0.500000,0.300000,0.162560
4.874791,0.500000,0.300000,0.161597
4.908180,0.500000,0.300000,0.160637
4.941569,0.500000,0.300000,0.159679
4.974958,0.500000,0.300000,0.158724
5.008347,0.500000,0.300000,0.157772
5.041736,0.500000,0.300000,0.156823
5.075125,0.500000,0.300000,0.155878
5.108514,0.500000,0.300000,0.154935
5.141903,0.500000,0.300000,0.153996
5.175292,0.500000,0.300000,0.153060
5.208681,0.500000,0.300000,0.152128
5.242070,0.500000,0.300000,0.151198
5.275459,0.500000,0.300000,0.150273
5.308848,0.500000,0.300000,0.149351
5.342237,0.500000,0.300000,0.148433
5.375626,0.500000,0.300000,0.147518
5.409015,0.500000,0.300000,0.146607
5.442404,0.500000,0.300000,0.145700
5.475793,0.500000,0.300000,0.144796
5.509182,0.500000,0.300000,0.143897
5.542571,0.500000,0.300000,0.143001
5.575960,0.500000,0.300000,0.142110
5.609349,0.500000,0.300000,0.141222
5.642738,0.500000,0.300000,0.140339
5.676127,0.500000,0.300000,0.139459
5.709516,0.500000,0.300000,0.138583
5.742905,0.500000,0.300000,0.137712
5.776294,0.500000,0.300000,0.136845
5.809683,0.500000,0.300000,0.135982
5.843072,0.500000,0.300000,0.135123
5.876461,0.500000,0.300000,0.134268
5.909850,0.500000,0.300000,0.133417
5.943239,0.500000,0.300000,0.132571
5.976628,0.500000,0.300000,0.131729
6.010017,0.500000,0.300000,0.130891
6.043406,0.500000,0.300000,0.130057
6.076795,0.500000,0.300000,0.129228
6.110184,0.500000,0.300000,0.128403
6.143573,0.500000,0.300000,0.127582
6.176962,0.500000,0.300000,0.126766
6.210351,0.500000,0.300000,0.125954
6.243740,0.500000,0.300000,0.125146
6.277129,0.500000,0.300000,0.124342
6.310518,0.500000,0.300000,0.123543
6.343907,0.500000,0.300000,0.122748
6.377295,0.500000,0.300000,0.121958
6.410684,0.500000,0.300000,0.121172
6.444073,0.500000,0.300000,0.120390
6.477462,0.500000,0.300000,0.119613
6.510851,0.500000,0.300000,0.118839
6.544240,0.500000,0.300000,0.118071
6.577629,0.500000,0.300000,0.117306
6.611018,0.500000,0.300000,0.116546
6.644407,0.500000,0.300000,0.115790
6.677796,0.500000,0.300000,0.115039
6.711185,0.500000,0.300000,0.114291
6.744574,0.500000,0.300000,0.113548
6.777963,0.500000,0.300000,0.112810
6.811352,0.500000,0.300000,0.112075
6.844741,0.500000,0.300000,0.111345
6.878130,0.500000,0.300000,0.110620
6.911519,0.500000,0.300000,0.109898
6.944908,0.500000,0.300000,0.109181
6.978297,0.500000,0.300000,0.108468
7.011686,0.500000,0.300000,0.107759
7.045075,0.500000,0.300000,0.107054
7.078464,0.500000,0.300000,0.106354
7.111853,0.500000,0.300000,0.105657
7.145242,0.500000,0.300000,0.104965
7.178631,0.500000,0.300000,0.104277
7.212020,0.500000,0.300000,0.103593
7.245409,0.500000,0.300000,0.102914
7.278798,0.500000,0.300000,0.102238
7.312187,0.500000,0.300000,0.101567
7.345576,0.500000,0.300000,0.100899
7.378965,0.500000,0.300000,0.100236
7.412354,0.500000,0.300000,0.099577
7.445743,0.500000,0.300000,0.098922
7.479132,0.500000,0.300000,0.098270
7.512521,0.500000,0.300000,0.097623
7.545910,0.500000,0.300000,0.096980
7.579299,0.500000,0.300000,0.096341
7.612688,0.500000,0.300000,0.095706
7.646077,0.500000,0.300000,0.095074
7.679466,0.500000,0.300000,0.094447
7.712855,0.500000,0.300000,0.093824
7.746244,0.500000,0.300000,0.093204
7.779633,0.500000,0.300000,0.092588
7.813022,0.500000,0.300000,0.091976
7.846411,0.500000,0.300000,0.091368
7.879800,0.500000,0.300000,0.090764
7.913189,0.500000,0.300000,0.090164
7.946578,0.500000,0.300000,0.089567
7.979967,0.500000,0.300000,0.088975
8.013356,0.500000,0.300000,0.088386
8.046745,0.500000,0.300000,0.087800
8.080134,0.500000,0.300000,0.087219
8.113523,0.500000,0.300000,0.086641
8.146912,0.500000,0.300000,0.086066
8.180301,0.500000,0.300000,0.085496
8.213689,0.500000,0.300000,0.084929
8.247078,0.500000,0.300000,0.084366
8.280467,0.500000,0.300000,0.083806
8.313856,0.500000,0.300000,0.083250
8.347245,0.500000,0.300000,0.082697
8.380634,0.500000,0.300000,0.082148
8.414023,0.500000,0.300000,0.081602
8.447412,0.500000,0.300000,0.081060
8.480801,0.500000,0.300000,0.080522
8.514190,0.500000,0.300000,0.079987
8.547579,0.500000,0.300000,0.079455
8.580968,0.500000,0.300000,0.078927
8.614357,0.500000,0.300000,0.078402
8.647746,0.500000,0.300000,0.077881
8.681135,0.500000,0.300000,0.077363
8.714524,0.500000,0.300000,0.076848
8.747913,0.500000,0.300000,0.076337
8.781302,0.500000,0.300000,0.075829
8.814691,0.500000,0.300000,0.075324
8.848080,0.500000,0.300000,0.074823
8.881469,0.500000,0.300000,0.074324
8.914858,0.500000,0.300000,0.073830
8.948247,0.500000,0.300000,0.073338
8.981636,0.500000,0.300000,0.072849
9.015025,0.500000,0.300000,0.072364
9.048414,0.500000,0.300000,0.071882
9.081803,0.500000,0.300000,0.071403
9.115192,0.500000,0.300000,0.070927
9.148581,0.500000,0.300000,0.070454
9.181970,0.500000,0.300000,0.069984
9.215359,0.500000,0.300000,0.069518
9.248748,0.500000,0.300000,0.069054
9.282137,0.500000,0.300000,0.068594
9.315526,0.500000,0.300000,0.068136
9.348915,0.500000,0.300000,0.067682
9.382304,0.500000,0.300000,0.067230
9.415693,0.500000,0.300000,0.066782
9.449082,0.500000,0.300000,0.066336
9.482471,0.500000,0.300000,0.065893
9.515860,0.500000,0.300000,0.065453
9.549249,0.500000,0.300000,0.065017
9.582638,0.500000,0.300000,0.064583
9.616027,0.500000,0.300000,0.064151
9.649416,0.500000,0.300000,0.063723
9.682805,0.500000,0.300000,0.063298
9.716194,0.500000,0.300000,0.062875
9.749583,0.500000,0.300000,0.062455
9.782972,0.500000,0.300000,0.062038
9.816361,0.500000,0.300000,0.061623
9.849750,0.500000,0.300000,0.061212
9.883139,0.500000,0.300000,0.060803
9.916528,0.500000,0.300000,0.060397
9.949917,0.500000,0.300000,0.059993
9.983306,0.500000,0.300000,0.059592
10.016694,0.500000,0.300000,0.059194
10.050083,0.500000,0.300000,0.058798
10.083472,0.500000,0.300000,0.058405
10.116861,0.500000,0.300000,0.058015
10.150250,0.500000,0.300000,0.057627
10.183639,0.500000,0.300000,0.057242
10.217028,0.500000,0.300000,0.056859
10.250417,0.500000,0.300000,0.056479
10.283806,0.500000,0.300000,0.056102
10.317195,0.500000,0.300000,0.055727
10.350584,0.500000,0.300000,0.055354
10.383973,0.500000,0.300000,0.054984
10.417362,0.500000,0.300000,0.054616
10.450751,0.500000,0.300000,0.054251
10.484140,0.500000,0.300000,0.053888
10.517529,0.500000,0.300000,0.053527
10.550918,0.500000,0.300000,0.053169
10.584307,0.500000,0.300000,0.052814
10.617696,0.500000,0.300000,0.052461
10.651085,0.500000,0.300000,0.052110
10.684474,0.500000,0.300000,0.051761
10.717863,0.500000,0.300000,0.051415
10.751252,0.500000,0.300000,0.051071
10.784641,0.500000,0.300000,0.050729
10.818030,0.500000,0.300000,0.050390
10.851419,0.500000,0.300000,0.050052
10.884808,0.500000,0.300000,0.049717
10.918197,0.500000,0.300000,0.049385
10.951586,0.500000,0.300000,0.049054
10.984975,0.500000,0.300000,0.048726
11.018364,0.500000,0.300000,0.048400
11.051753,0.500000,0.300000,0.048076
11.085142,0.500000,0.300000,0.047754
11.118531,0.500000,0.300000,0.047434
11.151920,0.500000,0.300000,0.047117
11.185309,0.500000,0.300000,0.046802
11.218698,0.500000,0.300000,0.046488
11.252087,0.500000,0.300000,0.046177
11.285476,0.500000,0.300000,0.045868
11.318865,0.500000,0.300000,0.045561
11.352254,0.500000,0.300000,0.045256
11.385643,0.500000,0.300000,0.044953
11.419032,0.500000,0.300000,0.044652
11.452421,0.500000,0.300000,0.044353
11.485810,0.500000,0.300000,0.044056
11.519199,0.500000,0.300000,0.043761
11.552588,0.500000,0.300000,0.043468
11.585977,0.500000,0.300000,0.043177
11.619366,0.500000,0.300000,0.042888
11.652755,0.500000,0.300000,0.042601
11.686144,0.500000,0.300000,0.042315
11.719533,0.500000,0.300000,0.042032
11.752922,0.500000,0.300000,0.041751
11.786311,0.500000,0.300000,0.041471
11.819699,0.500000,0.300000,0.041193
11.853088,0.500000,0.300000,0.040917
11.886477,0.500000,0.300000,0.040643
11.919866,0.500000,0.300000,0.040371
11.953255,0.500000,0.300000,0.040101
11.986644,0.500000,0.300000,0.039832
12.020033,0.500000,0.300000,0.039566
12.053422,0.500000,0.300000,0.039301
12.086811,0.500000,0.300000,0.039037
12.120200,0.500000,0.300000,0.038776
12.153589,0.500000,0.300000,0.038516
12.186978,0.500000,0.300000,0.038258
12.220367,0.500000,0.300000,0.038002
12.253756,0.500000,0.300000,0.037747
12.287145,0.500000,0.300000,0.037494
12.320534,0.500000,0.300000,0.037243
12.353923,0.500000,0.300000,0.036994
12.387312,0.500000,0.300000,0.036746
12.420701,0.500000,0.300000,0.036500
12.454090,0.500000,0.300000,0.036255
12.487479,0.500000,0.300000,0.036012
12.520868,0.500000,0.300000,0.035771
12.554257,0.500000,0.300000,0.035532
12.587646,0.500000,0.300000,0.035294
12.621035,0.500000,0.300000,0.035057
12.654424,0.500000,0.300000,0.034822
12.687813,0.500000,0.300000,0.034589
12.721202,0.500000,0.300000,0.034357
12.754591,0.500000,0.300000,0.034127
12.787980,0.500000,0.300000,0.033898
12.821369,0.500000,0.300000,0.033671
12.854758,0.500000,0.300000,0.033446
12.888147,0.500000,0.300000,0.033222
12.921536,0.500000,0.300000,0.032999
12.954925,0.500000,0.300000,0.032778
12.988314,0.500000,0.300000,0.032558
13.021703,0.500000,0.300000,0.032340
13.055092,0.500000,0.300000,0.032124
13.088481,0.500000,0.300000,0.031908
13.121870,0.500000,0.300000,0.031695
13.155259,0.500000,0.300000,0.031482
13.188648,0.500000,0.300000,0.031271
13.222037,0.500000,0.300000,0.031062
13.255426,0.500000,0.300000,0.030854
13.288815,0.500000,0.300000,0.030647
13.322204,0.500000,0.300000,0.030442
13.355593,0.500000,0.300000,0.030238
13.388982,0.500000,0.300000,0.030035
13.422371,0.500000,0.300000,0.029834
13.455760,0.500000,0.300000,0.029634
13.489149,0.500000,0.300000,0.029435
13.522538,0.500000,0.300000,0.029238
13.555927,0.500000,0.300000,0.029042
13.589316,0.500000,0.300000,0.028848
13.622705,0.500000,0.300000,0.028654
13.656093,0.500000,0.300000,0.028462
13.689482,0.500000,0.300000,0.028271
13.722871,0.500000,0.300000,0.028082
13.756260,0.500000,0.300000,0.027894
13.789649,0.500000,0.300000,0.027707
13.823038,0.500000,0.300000,0.027521
13.856427,0.500000,0.300000,0.027337
13.889816,0.500000,0.300000,0.027154
13.923205,0.500000,0.300000,0.026972
13.956594,0.500000,0.300000,0.026791
13.989983,0.500000,0.300000,0.026611
14.023372,0.500000,0.300000,0.026433
14.056761,0.500000,0.300000,0.026256
14.090150,0.500000,0.300000,0.026080
14.123539,0.500000,0.300000,0.025905
14.156928,0.500000,0.300000,0.025732
14.190317,0.500000,0.300000,0.025559
14.223706,0.500000,0.300000,0.025388
14.257095,0.500000,0.300000,0.025218
14.290484,0.500000,0.300000,0.025049
14.323873,0.500000,0.300000,0.024881
14.357262,0.500000,0.300000,0.024714
14.390651,0.500000,0.300000,0.024549
14.424040,0.500000,0.300000,0.024384
14.457429,0.500000,0.300000,0.024221
14.490818,0.500000,0.300000,0.024058
14.524207,0.500000,0.300000,0.023897
14.557596,0.500000,0.300000,0.023737
14.590985,0.500000,0.300000,0.023578
14.624374,0.500000,0.300000,0.023420
14.657763,0.500000,0.300000,0.023263
14.691152,0.500000,0.300000,0.023107
14.724541,0.500000,0.300000,0.022952
14.757930,0.500000,0.300000,0.022798
14.791319,0.500000,0.300000,0.022646
14.824708,0.500000,0.300000,0.022494
14.858097,0.500000,0.300000,0.022343
14.891486,0.500000,0.300000,0.022193
14.924875,0.500000,0.300000,0.022045
14.958264,0.500000,0.300000,0.021897
14.991653,0.500000,0.300000,0.021750
15.025042,0.500000,0.300000,0.021604
15.058431,0.500000,0.300000,0.021460
15.091820,0.500000,0.300000,0.021316
15.125209,0.500000,0.300000,0.021173
15.158598,0.500000,0.300000,0.021031
15.191987,0.500000,0.300000,0.020890
15.225376,0.500000,0.300000,0.020750
15.258765,0.500000,0.300000,0.020611
15.292154,0.500000,0.300000,0.020473
15.325543,0.500000,0.300000,0.020336
15.358932,0.500000,0.300000,0.020199
15.392321,0.500000,0.300000,0.020064
15.425710,0.500000,0.300000,0.019930
15.459098,0.500000,0.300000,0.019796
15.492487,0.500000,0.300000,0.019663
15.525876,0.500000,0.300000,0.019532
15.559265,0.500000,0.300000,0.019401
15.592654,0.500000,0.300000,0.019271
15.626043,0.500000,0.300000,0.019141
15.659432,0.500000,0.300000,0.019013
15.692821,0.500000,0.300000,0.018886
15.726210,0.500000,0.300000,0.018759
15.759599,0.500000,0.300000,0.018633
15.792988,0.500000,0.300000,0.018509
15.826377,0.500000,0.300000,0.018385
15.859766,0.500000,0.300000,0.018261
15.893155,0.500000,0.300000,0.018139
15.926544,0.500000,0.300000,0.018017
15.959933,0.500000,0.300000,0.017897
15.993322,0.500000,0.300000,0.017777
16.026711,0.500000,0.300000,0.017658
16.060100,0.500000,0.300000,0.017539
16.093489,0.500000,0.300000,0.017422
16.126878,0.500000,0.300000,0.017305
16.160267,0.500000,0.300000,0.017189
16.193656,0.500000,0.300000,0.017074
16.227045,0.500000,0.300000,0.016959
16.260434,0.500000,0.300000,0.016846
16.293823,0.500000,0.300000,0.016733
16.327212,0.500000,0.300000,0.016621
16.360601,0.500000,0.300000,0.016509
16.393990,0.500000,0.300000,0.016399
16.427379,0.500000,0.300000,0.016289
16.460768,0.500000,0.300000,0.016179
16.494157,0.500000,0.300000,0.016071
16.527546,0.500000,0.300000,0.015963
16.560935,0.500000,0.300000,0.015856
16.594324,0.500000,0.300000,0.015750
16.627713,0.500000,0.300000,0.015644
16.661102,0.500000,0.300000,0.015540
16.694491,0.500000,0.300000,0.015435
16.727880,0.500000,0.300000,0.015332
16.761269,0.500000,0.300000,0.015229
16.794658,0.500000,0.300000,0.015127
16.828047,0.500000,0.300000,0.015026
16.861436,0.500000,0.300000,0.014925
16.894825,0.500000,0.300000,0.014825
16.928214,0.500000,0.300000,0.014726
16.961603,0.500000,0.300000,0.014627
16.994992,0.500000,0.300000,0.014529
17.028381,0.500000,0.300000,0.014432
17.061770,0.500000,0.300000,0.014335
17.095159,0.500000,0.300000,0.014239
17.128548,0.500000,0.300000,0.014143
17.161937,0.500000,0.300000,0.014049
17.195326,0.500000,0.300000,0.013954
17.228715,0.500000,0.300000,0.013861
17.262104,0.500000,0.300000,0.013768
17.295492,0.500000,0.300000,0.013676
17.328881,0.500000,0.300000,0.013584
17.362270,0.500000,0.300000,0.013493
17.395659,0.500000,0.300000,0.013403
17.429048,0.500000,0.300000,0.013313
17.462437,0.500000,0.300000,0.013224
17.495826,0.500000,0.300000,0.013135
17.529215,0.500000,0.300000,0.013047
17.562604,0.500000,0.300000,0.012959
17.595993,0.500000,0.300000,0.012873
17.629382,0.500000,0.300000,0.012786
17.662771,0.500000,0.300000,0.012701
17.696160,0.500000,0.300000,0.012616
17.729549,0.500000,0.300000,0.012531
17.762938,0.500000,0.300000,0.012447
17.796327,0.500000,0.300000,0.012364
17.829716,0.500000,0.300000,0.012281
17.863105,0.500000,0.300000,0.012198
17.896494,0.500000,0.300000,0.012117
17.929883,0.500000,0.300000,0.012035
17.963272,0.500000,0.300000,0.011955
17.996661,0.500000,0.300000,0.011875
18.030050,0.500000,0.300000,0.011795
18.063439,0.500000,0.300000,0.011716
18.096828,0.500000,0.300000,0.011637
18.130217,0.500000,0.300000,0.011559
18.163606,0.500000,0.300000,0.011482
18.196995,0.500000,0.300000,0.011405
18.230384,0.500000,0.300000,0.011329
18.263773,0.500000,0.300000,0.011253
18.297162,0.500000,0.300000,0.011177
18.330551,0.500000,0.300000,0.011102
18.363940,0.500000,0.300000,0.011028
18.397329,0.500000,0.300000,0.010954
18.430718,0.500000,0.300000,0.010881
18.464107,0.500000,0.300000,0.010808
18.497496,0.500000,0.300000,0.010735
18.530885,0.500000,0.300000,0.010663
18.564274,0.500000,0.300000,0.010592
18.597663,0.500000,0.300000,0.010521
18.631052,0.500000,0.300000,0.010450
18.664441,0.500000,0.300000,0.010380
18.697830,0.500000,0.300000,0.010311
18.731219,0.500000,0.300000,0.010242
18.764608,0.500000,0.300000,0.010173
18.797997,0.500000,0.300000,0.010105
18.831386,0.500000,0.300000,0.010037
18.864775,0.500000,0.300000,0.009970
18.898164,0.500000,0.300000,0.009903
18.931553,0.500000,0.300000,0.009837
18.964942,0.500000,0.300000,0.009771
18.998331,0.500000,0.300000,0.009705
19.031720,0.500000,0.300000,0.009640
19.065109,0.500000,0.300000,0.009576
19.098497,0.500000,0.300000,0.009511
19.131886,0.500000,0.300000,0.009448
19.165275,0.500000,0.300000,0.009384
19.198664,0.500000,0.300000,0.009321
19.232053,0.500000,0.300000,0.009259
19.265442,0.500000,0.300000,0.009197
19.298831,0.500000,0.300000,0.009135
19.332220,0.500000,0.300000,0.009074
19.365609,0.500000,0.300000,0.009013
19.398998,0.500000,0.300000,0.008953
19.432387,0.500000,0.300000,0.008893
19.465776,0.500000,0.300000,0.008833
19.499165,0.500000,0.300000,0.008774
19.532554,0.500000,0.300000,0.008715
19.565943,0.500000,0.300000,0.008657
19.599332,0.500000,0.300000,0.008599
19.632721,0.500000,0.300000,0.008541
19.666110,0.500000,0.300000,0.008484
19.699499,0.500000,0.300000,0.008427
19.732888,0.500000,0.300000,0.008370
19.766277,0.500000,0.300000,0.008314
19.799666,0.500000,0.300000,0.008259
19.833055,0.500000,0.300000,0.008203
19.866444,0.500000,0.300000,0.008148
19.899833,0.500000,0.300000,0.008094
19.933222,0.500000,0.300000,0.008039
19.966611,0.500000,0.300000,0.007986
20.000000,0.500000,0.300000,0.007932
0.000000,0.500000,0.800000,0.000000
0.033389,0.500000,0.800000,0.008596
0.066778,0.500000,0.800000,0.016881
0.100167,0.500000,0.800000,0.024865
0.133556,0.500000,0.800000,0.032556
0.166945,0.500000,0.800000,0.039962
0.200334,0.500000,0.800000,0.047093
0.233723,0.500000,0.800000,0.053958
0.267112,0.500000,0.800000,0.060563
0.300501,0.500000,0.800000,0.066916
0.333890,0.500000,0.800000,0.073026
0.367279,0.500000,0.800000,0.078900
0.400668,0.500000,0.800000,0.084544
0.434057,0.500000,0.800000,0.089967
0.467446,0.500000,0.800000,0.095174
0.500835,0.500000,0.800000,0.100172
0.534224,0.500000,0.800000,0.104967
0.567613,0.500000,0.800000,0.109566
0.601002,0.500000,0.800000,0.113975
0.634391,0.500000,0.800000,0.118200
0.667780,0.500000,0.800000,0.122245
0.701169,0.500000,0.800000,0.126118
0.734558,0.500000,0.800000,0.129822
0.767947,0.500000,0.800000,0.133364
0.801336,0.500000,0.800000,0.136748
0.834725,0.500000,0.800000,0.139980
0.868114,0.500000,0.800000,0.143063
0.901503,0.500000,0.800000,0.146003
0.934891,0.500000,0.800000,0.148804
0.968280,0.500000,0.800000,0.151471
1.001669,0.500000,0.800000,0.154007
1.035058,0.500000,0.800000,0.156417
1.068447,0.500000,0.800000,0.158705
1.101836,0.500000,0.800000,0.160874
1.135225,0.500000,0.800000,0.162929
1.168614,0.500000,0.800000,0.164873
1.202003,0.500000,0.800000,0.166710
1.235392,0.500000,0.800000,0.168443
1.268781,0.500000,0.800000,0.170075
1.302170,0.500000,0.800000,0.171610
1.335559,0.500000,0.800000,0.173051
1.368948,0.500000,0.800000,0.174400
1.402337,0.500000,0.800000,0.175662
1.435726,0.500000,0.800000,0.176838
1.469115,0.500000,0.800000,0.177931
1.502504,0.500000,0.800000,0.178945
1.535893,0.500000,0.800000,0.179882
1.569282,0.500000,0.800000,0.180744
1.602671,0.500000,0.800000,0.181535
1.636060,0.500000,0.800000,0.182255
1.669449,0.500000,0.800000,0.182908
1.702838,0.500000,0.800000,0.183497
1.736227,0.500000,0.800000,0.184022
1.769616,0.500000,0.800000,0.184487
1.803005,0.500000,0.800000,0.184893
1.836394,0.500000,0.800000,0.185242
1.869783,0.500000,0.800000,0.185537
1.903172,0.500000,0.800000,0.185779
1.936561,0.500000,0.800000,0.185970
1.969950,0.500000,0.800000,0.186112
2.003339,0.500000,0.800000,0.186207
2.036728,0.500000,0.800000,0.186256
2.070117,0.500000,0.800000,0.186261
2.103506,0.500000,0.800000,0.186223
2.136895,0.500000,0.800000,0.186145
2.170284,0.500000,0.800000,0.186027
2.203673,0.500000,0.800000,0.185871
2.237062,0.500000,0.800000,0.185678
2.270451,0.500000,0.800000,0.185450
2.303840,0.500000,0.800000,0.185188
2.337229,0.500000,0.800000,0.184894
2.370618,0.500000,0.800000,0.184568
2.404007,0.500000,0.800000,0.184212
2.437396,0.500000,0.800000,0.183827
2.470785,0.500000,0.800000,0.183414
2.504174,0.500000,0.800000,0.182974
2.537563,0.500000,0.800000,0.182508
2.570952,0.500000,0.800000,0.182018
2.604341,0.500000,0.800000,0.181504
2.637730,0.500000,0.800000,0.180967
2.671119,0.500000,0.800000,0.180409
2.704508,0.500000,0.800000,0.179829
2.737896,0.500000,0.800000,0.179230
2.771285,0.500000,0.800000,0.178611
2.804674,0.500000,0.800000,0.177974
2.838063,0.500000,0.800000,0.177320
2.871452,0.500000,0.800000,0.176649
2.904841,0.500000,0.800000,0.175961
2.938230,0.500000,0.800000,0.175259
2.971619,0.500000,0.800000,0.174542
3.005008,0.500000,0.800000,0.173811
3.038397,0.500000,0.800000,0.173067
3.071786,0.500000,0.800000,0.172310
3.105175,0.500000,0.800000,0.171542
3.138564,0.500000,0.800000,0.170762
3.171953,0.500000,0.800000,0.169971
3.205342,0.500000,0.800000,0.169171
3.238731,0.500000,0.800000,0.168360
3.272120,0.500000,0.800000,0.167541
