c,m,response
1.132420,-0.990868,0.782793
1.141553,-0.990868,0.787250
1.150685,-0.990868,0.791639
1.159817,-0.990868,0.795962
1.168950,-0.990868,0.800217
1.178082,-0.990868,0.804406
1.187215,-0.990868,0.808527
1.196347,-0.990868,0.812583
1.205479,-0.990868,0.816571
1.214612,-0.990868,0.820494
1.223744,-0.990868,0.824351
1.232877,-0.990868,0.828142
1.242009,-0.990868,0.831868
1.251142,-0.990868,0.835529
1.260274,-0.990868,0.839126
1.269406,-0.990868,0.842660
1.278539,-0.990868,0.846129
1.287671,-0.990868,0.849536
1.296804,-0.990868,0.852881
1.305936,-0.990868,0.856164
1.315068,-0.990868,0.859386
1.324201,-0.990868,0.862547
1.333333,-0.990868,0.865648
1.342466,-0.990868,0.868690
1.351598,-0.990868,0.871673
1.360731,-0.990868,0.874598
1.369863,-0.990868,0.877466
1.378995,-0.990868,0.880277
1.388128,-0.990868,0.883033
1.397260,-0.990868,0.885733
1.406393,-0.990868,0.888379
1.415525,-0.990868,0.890971
1.424658,-0.990868,0.893510
1.433790,-0.990868,0.895997
1.442922,-0.990868,0.898432
1.452055,-0.990868,0.900817
1.461187,-0.990868,0.903151
1.470320,-0.990868,0.905437
1.479452,-0.990868,0.907674
1.488584,-0.990868,0.909863
1.497717,-0.990868,0.912006
1.506849,-0.990868,0.914102
1.515982,-0.990868,0.916153
1.525114,-0.990868,0.918160
1.534247,-0.990868,0.920122
1.543379,-0.990868,0.922042
1.552511,-0.990868,0.923919
1.561644,-0.990868,0.925755
1.570776,-0.990868,0.927550
1.579909,-0.990868,0.929305
1.589041,-0.990868,0.931020
1.598174,-0.990868,0.932697
1.607306,-0.990868,0.934336
1.616438,-0.990868,0.935938
1.625571,-0.990868,0.937503
1.634703,-0.990868,0.939033
1.643836,-0.990868,0.940527
1.652968,-0.990868,0.941987
1.662100,-0.990868,0.943414
1.671233,-0.990868,0.944807
1.680365,-0.990868,0.946168
1.689498,-0.990868,0.947497
1.698630,-0.990868,0.948796
1.707763,-0.990868,0.950064
1.716895,-0.990868,0.951302
1.726027,-0.990868,0.952511
1.735160,-0.990868,0.953691
1.744292,-0.990868,0.954844
1.753425,-0.990868,0.955969
1.762557,-0.990868,0.957067
1.771689,-0.990868,0.958139
1.780822,-0.990868,0.959186
1.789954,-0.990868,0.960207
1.799087,-0.990868,0.961204
1.808219,-0.990868,0.962177
1.817352,-0.990868,0.963126
1.826484,-0.990868,0.964053
1.835616,-0.990868,0.964957
1.844749,-0.990868,0.965839
1.853881,-0.990868,0.966700
1.863014,-0.990868,0.967540
1.872146,-0.990868,0.968359
1.881279,-0.990868,0.969158
1.890411,-0.990868,0.969938
1.899543,-0.990868,0.970698
1.908676,-0.990868,0.971440
1.917808,-0.990868,0.972164
1.926941,-0.990868,0.972870
1.936073,-0.990868,0.973558
1.945205,-0.990868,0.974229
1.954338,-0.990868,0.974884
1.963470,-0.990868,0.975523
1.972603,-0.990868,0.976146
1.981735,-0.990868,0.976753
1.990868,-0.990868,0.977345
2.000000,-0.990868,0.977922
0.000000,-0.981735,0.120746
0.009132,-0.981735,0.123569
0.018265,-0.981735,0.126450
0.027397,-0.981735,0.129387
0.036530,-0.981735,0.132383
0.045662,-0.981735,0.135437
0.054795,-0.981735,0.138550
0.063927,-0.981735,0.141723
0.073059,-0.981735,0.144957
0.082192,-0.981735,0.148251
0.091324,-0.981735,0.151607
0.100457,-0.981735,0.155026
0.109589,-0.981735,0.158507
0.118721,-0.981735,0.162051
0.127854,-0.981735,0.165659
0.136986,-0.981735,0.169330
0.146119,-0.981735,0.173067
0.155251,-0.981735,0.176868
0.164384,-0.981735,0.180735
0.173516,-0.981735,0.184667
0.182648,-0.981735,0.188665
0.191781,-0.981735,0.192729
0.200913,-0.981735,0.196859
0.210046,-0.981735,0.201056
0.219178,-0.981735,0.205319
0.228311,-0.981735,0.209649
0.237443,-0.981735,0.214046
0.246575,-0.981735,0.218510
0.255708,-0.981735,0.223040
0.264840,-0.981735,0.227637
0.273973,-0.981735,0.232300
0.283105,-0.981735,0.237029
0.292237,-0.981735,0.241824
0.301370,-0.981735,0.246685
0.310502,-0.981735,0.251612
0.319635,-0.981735,0.256603
0.328767,-0.981735,0.261658
0.337900,-0.981735,0.266778
0.347032,-0.981735,0.271960
0.356164,-0.981735,0.277205
0.365297,-0.981735,0.282513
0.374429,-0.981735,0.287881
0.383562,-0.981735,0.293309
0.392694,-0.981735,0.298798
0.401826,-0.981735,0.304344
0.410959,-0.981735,0.309948
0.420091,-0.981735,0.315608
0.429224,-0.981735,0.321324
0.438356,-0.981735,0.327093
0.447489,-0.981735,0.332916
0.456621,-0.981735,0.338789
0.465753,-0.981735,0.344713
0.474886,-0.981735,0.350686
0.484018,-0.981735,0.356706
0.493151,-0.981735,0.362771
0.502283,-0.981735,0.368880
0.511416,-0.981735,0.375032
0.520548,-0.981735,0.381224
0.529680,-0.981735,0.387455
0.538813,-0.981735,0.393723
0.547945,-0.981735,0.400027
0.557078,-0.981735,0.406363
0.566210,-0.981735,0.412731
0.575342,-0.981735,0.419128
0.584475,-0.981735,0.425553
0.593607,-0.981735,0.432003
0.602740,-0.981735,0.438476
0.611872,-0.981735,0.444970
0.621005,-0.981735,0.451482
0.630137,-0.981735,0.458012
0.639269,-0.981735,0.464556
0.648402,-0.981735,0.471112
0.657534,-0.981735,0.477678
0.666667,-0.981735,0.484252
0.675799,-0.981735,0.490831
0.684932,-0.981735,0.497414
0.694064,-0.981735,0.503997
0.703196,-0.981735,0.510579
0.712329,-0.981735,0.517157
0.721461,-0.981735,0.523730
0.730594,-0.981735,0.530294
0.739726,-0.981735,0.536847
0.748858,-0.981735,0.543388
0.757991,-0.981735,0.549915
0.767123,-0.981735,0.556423
0.776256,-0.981735,0.562913
0.785388,-0.981735,0.569381
0.794521,-0.981735,0.575826
0.803653,-0.981735,0.582245
0.812785,-0.981735,0.588636
0.821918,-0.981735,0.594997
0.831050,-0.981735,0.601327
0.840183,-0.981735,0.607623
0.849315,-0.981735,0.613883
0.858447,-0.981735,0.620106
0.867580,-0.981735,0.626290
0.876712,-0.981735,0.632432
0.885845,-0.981735,0.638532
0.894977,-0.981735,0.644588
0.904110,-0.981735,0.650598
0.913242,-0.981735,0.656560
0.922374,-0.981735,0.662473
0.931507,-0.981735,0.668336
0.940639,-0.981735,0.674147
0.949772,-0.981735,0.679905
0.958904,-0.981735,0.685609
0.968037,-0.981735,0.691258
0.977169,-0.981735,0.696849
0.986301,-0.981735,0.702383
0.995434,-0.981735,0.707859
1.004566,-0.981735,0.713274
1.013699,-0.981735,0.718630
1.022831,-0.981735,0.723924
1.031963,-0.981735,0.729155
1.041096,-0.981735,0.734325
1.050228,-0.981735,0.739430
1.059361,-0.981735,0.744472
1.068493,-0.981735,0.749449
1.077626,-0.981735,0.754362
1.086758,-0.981735,0.759209
1.095890,-0.981735,0.763990
1.105023,-0.981735,0.768705
1.114155,-0.981735,0.773354
1.123288,-0.981735,0.777936
1.132420,-0.981735,0.782452
1.141553,-0.981735,0.786902
1.150685,-0.981735,0.791284
1.159817,-0.981735,0.795600
1.168950,-0.981735,0.799849
1.178082,-0.981735,0.804031
1.187215,-0.981735,0.808148
1.196347,-0.981735,0.812197
1.205479,-0.981735,0.816181
1.214612,-0.981735,0.820099
1.223744,-0.981735,0.823952
1.232877,-0.981735,0.827739
1.242009,-0.981735,0.831462
1.251142,-0.981735,0.835120
1.260274,-0.981735,0.838714
1.269406,-0.981735,0.842244
1.278539,-0.981735,0.845712
1.287671,-0.981735,0.849117
1.296804,-0.981735,0.852460
1.305936,-0.981735,0.855741
1.315068,-0.981735,0.858962
1.324201,-0.981735,0.862122
1.333333,-0.981735,0.865222
1.342466,-0.981735,0.868264
1.351598,-0.981735,0.871247
1.360731,-0.981735,0.874172
1.369863,-0.981735,0.877040
1.378995,-0.981735,0.879852
1.388128,-0.981735,0.882608
1.397260,-0.981735,0.885309
1.406393,-0.981735,0.887956
1.415525,-0.981735,0.890549
1.424658,-0.981735,0.893090
1.433790,-0.981735,0.895578
1.442922,-0.981735,0.898016
1.452055,-0.981735,0.900402
1.461187,-0.981735,0.902739
1.470320,-0.981735,0.905027
1.479452,-0.981735,0.907266
1.488584,-0.981735,0.909458
1.497717,-0.981735,0.911603
1.506849,-0.981735,0.913703
1.515982,-0.981735,0.915756
1.525114,-0.981735,0.917766
1.534247,-0.981735,0.919732
1.543379,-0.981735,0.921654
1.552511,-0.981735,0.923535
1.561644,-0.981735,0.925374
1.570776,-0.981735,0.927172
1.579909,-0.981735,0.928931
1.589041,-0.981735,0.930650
1.598174,-0.981735,0.932330
1.607306,-0.981735,0.933973
1.616438,-0.981735,0.935578
1.625571,-0.981735,0.937147
1.634703,-0.981735,0.938681
1.643836,-0.981735,0.940179
1.652968,-0.981735,0.941643
1.662100,-0.981735,0.943073
1.671233,-0.981735,0.944471
1.680365,-0.981735,0.945836
1.689498,-0.981735,0.947169
1.698630,-0.981735,0.948471
1.707763,-0.981735,0.949743
1.716895,-0.981735,0.950986
1.726027,-0.981735,0.952199
1.735160,-0.981735,0.953383
1.744292,-0.981735,0.954540
1.753425,-0.981735,0.955669
1.762557,-0.981735,0.956771
1.771689,-0.981735,0.957847
1.780822,-0.981735,0.958898
1.789954,-0.981735,0.959923
1.799087,-0.981735,0.960924
1.808219,-0.981735,0.961901
1.817352,-0.981735,0.962854
1.826484,-0.981735,0.963785
1.835616,-0.981735,0.964693
1.844749,-0.981735,0.965579
1.853881,-0.981735,0.966444
1.863014,-0.981735,0.967287
1.872146,-0.981735,0.968110
1.881279,-0.981735,0.968913
1.890411,-0.981735,0.969697
1.899543,-0.981735,0.970461
1.908676,-0.981735,0.971207
1.917808,-0.981735,0.971934
1.926941,-0.981735,0.972644
1.936073,-0.981735,0.973336
1.945205,-0.981735,0.974011
1.954338,-0.981735,0.974669
1.963470,-0.981735,0.975311
1.972603,-0.981735,0.975937
1.981735,-0.981735,0.976548
1.990868,-0.981735,0.977144
2.000000,-0.981735,0.977724
0.000000,-0.972603,0.121523
0.009132,-0.972603,0.124355
0.018265,-0.972603,0.127242
0.027397,-0.972603,0.130187
0.036530,-0.972603,0.133190
0.045662,-0.972603,0.136250
0.054795,-0.972603,0.139370
0.063927,-0.972603,0.142550
0.073059,-0.972603,0.145790
0.082192,-0.972603,0.149090
0.091324,-0.972603,0.152452
0.100457,-0.972603,0.155876
0.109589,-0.972603,0.159363
0.118721,-0.972603,0.162912
0.127854,-0.972603,0.166525
0.136986,-0.972603,0.170202
0.146119,-0.972603,0.173942
0.155251,-0.972603,0.177748
0.164384,-0.972603,0.181618
0.173516,-0.972603,0.185554
0.182648,-0.972603,0.189555
0.191781,-0.972603,0.193622
0.200913,-0.972603,0.197755
0.210046,-0.972603,0.201954
0.219178,-0.972603,0.206219
0.228311,-0.972603,0.210550
0.237443,-0.972603,0.214948
0.246575,-0.972603,0.219412
0.255708,-0.972603,0.223943
0.264840,-0.972603,0.228540
0.273973,-0.972603,0.233202
0.283105,-0.972603,0.237931
0.292237,-0.972603,0.242725
0.301370,-0.972603,0.247584
0.310502,-0.972603,0.252508
0.319635,-0.972603,0.257496
0.328767,-0.972603,0.262549
0.337900,-0.972603,0.267664
0.347032,-0.972603,0.272843
0.356164,-0.972603,0.278084
0.365297,-0.972603,0.283386
0.374429,-0.972603,0.288749
0.383562,-0.972603,0.294171
0.392694,-0.972603,0.299653
0.401826,-0.972603,0.305192
0.410959,-0.972603,0.310789
0.420091,-0.972603,0.316441
0.429224,-0.972603,0.322148
0.438356,-0.972603,0.327909
0.447489,-0.972603,0.333722
0.456621,-0.972603,0.339586
0.465753,-0.972603,0.345499
0.474886,-0.972603,0.351461
0.484018,-0.972603,0.357470
0.493151,-0.972603,0.363523
0.502283,-0.972603,0.369620
0.511416,-0.972603,0.375759
0.520548,-0.972603,0.381938
0.529680,-0.972603,0.388156
0.538813,-0.972603,0.394410
0.547945,-0.972603,0.400699
0.557078,-0.972603,0.407021
0.566210,-0.972603,0.413374
0.575342,-0.972603,0.419756
0.584475,-0.972603,0.426165
0.593607,-0.972603,0.432598
0.602740,-0.972603,0.439055
0.611872,-0.972603,0.445532
0.621005,-0.972603,0.452028
0.630137,-0.972603,0.458540
0.639269,-0.972603,0.465066
0.648402,-0.972603,0.471604
0.657534,-0.972603,0.478152
0.666667,-0.972603,0.484708
0.675799,-0.972603,0.491269
0.684932,-0.972603,0.497833
0.694064,-0.972603,0.504397
0.703196,-0.972603,0.510960
0.712329,-0.972603,0.517520
0.721461,-0.972603,0.524073
0.730594,-0.972603,0.530618
0.739726,-0.972603,0.537152
0.748858,-0.972603,0.543674
0.757991,-0.972603,0.550181
0.767123,-0.972603,0.556670
0.776256,-0.972603,0.563141
0.785388,-0.972603,0.569590
0.794521,-0.972603,0.576015
0.803653,-0.972603,0.582415
0.812785,-0.972603,0.588787
0.821918,-0.972603,0.595130
0.831050,-0.972603,0.601441
0.840183,-0.972603,0.607718
0.849315,-0.972603,0.613960
0.858447,-0.972603,0.620165
0.867580,-0.972603,0.626331
0.876712,-0.972603,0.632456
0.885845,-0.972603,0.638538
0.894977,-0.972603,0.644577
0.904110,-0.972603,0.650569
0.913242,-0.972603,0.656515
0.922374,-0.972603,0.662412
0.931507,-0.972603,0.668258
0.940639,-0.972603,0.674054
0.949772,-0.972603,0.679796
0.958904,-0.972603,0.685485
0.968037,-0.972603,0.691119
0.977169,-0.972603,0.696696
0.986301,-0.972603,0.702216
0.995434,-0.972603,0.707678
1.004566,-0.972603,0.713080
1.013699,-0.972603,0.718422
1.022831,-0.972603,0.723704
1.031963,-0.972603,0.728923
1.041096,-0.972603,0.734080
1.050228,-0.972603,0.739175
1.059361,-0.972603,0.744205
1.068493,-0.972603,0.749172
1.077626,-0.972603,0.754074
1.086758,-0.972603,0.758911
1.095890,-0.972603,0.763683
1.105023,-0.972603,0.768389
1.114155,-0.972603,0.773029
1.123288,-0.972603,0.777603
1.132420,-0.972603,0.782111
1.141553,-0.972603,0.786553
1.150685,-0.972603,0.790928
1.159817,-0.972603,0.795237
1.168950,-0.972603,0.799480
1.178082,-0.972603,0.803657
1.187215,-0.972603,0.807767
1.196347,-0.972603,0.811812
1.205479,-0.972603,0.815791
1.214612,-0.972603,0.819704
1.223744,-0.972603,0.823552
1.232877,-0.972603,0.827336
1.242009,-0.972603,0.831055
1.251142,-0.972603,0.834709
1.260274,-0.972603,0.838301
1.269406,-0.972603,0.841828
1.278539,-0.972603,0.845294
1.287671,-0.972603,0.848696
1.296804,-0.972603,0.852038
1.305936,-0.972603,0.855318
1.315068,-0.972603,0.858537
1.324201,-0.972603,0.861696
1.333333,-0.972603,0.864796
1.342466,-0.972603,0.867837
1.351598,-0.972603,0.870820
1.360731,-0.972603,0.873745
1.369863,-0.972603,0.876613
1.378995,-0.972603,0.879426
1.388128,-0.972603,0.882182
1.397260,-0.972603,0.884884
1.406393,-0.972603,0.887532
1.415525,-0.972603,0.890127
1.424658,-0.972603,0.892669
1.433790,-0.972603,0.895159
1.442922,-0.972603,0.897598
1.452055,-0.972603,0.899986
1.461187,-0.972603,0.902325
1.470320,-0.972603,0.904615
1.479452,-0.972603,0.906857
1.488584,-0.972603,0.909051
1.497717,-0.972603,0.911199
1.506849,-0.972603,0.913301
1.515982,-0.972603,0.915358
1.525114,-0.972603,0.917370
1.534247,-0.972603,0.919339
1.543379,-0.972603,0.921265
1.552511,-0.972603,0.923149
1.561644,-0.972603,0.924991
1.570776,-0.972603,0.926793
1.579909,-0.972603,0.928555
1.589041,-0.972603,0.930277
1.598174,-0.972603,0.931961
1.607306,-0.972603,0.933608
1.616438,-0.972603,0.935217
1.625571,-0.972603,0.936790
1.634703,-0.972603,0.938327
1.643836,-0.972603,0.939829
1.652968,-0.972603,0.941297
1.662100,-0.972603,0.942731
1.671233,-0.972603,0.944133
1.680365,-0.972603,0.945502
1.689498,-0.972603,0.946839
1.698630,-0.972603,0.948145
1.707763,-0.972603,0.949421
1.716895,-0.972603,0.950667
1.726027,-0.972603,0.951884
1.735160,-0.972603,0.953073
1.744292,-0.972603,0.954233
1.753425,-0.972603,0.955367
1.762557,-0.972603,0.956473
1.771689,-0.972603,0.957553
1.780822,-0.972603,0.958608
1.789954,-0.972603,0.959637
1.799087,-0.972603,0.960642
1.808219,-0.972603,0.961623
1.817352,-0.972603,0.962581
1.826484,-0.972603,0.963515
1.835616,-0.972603,0.964427
1.844749,-0.972603,0.965317
1.853881,-0.972603,0.966185
1.863014,-0.972603,0.967033
1.872146,-0.972603,0.967860
1.881279,-0.972603,0.968667
1.890411,-0.972603,0.969454
1.899543,-0.972603,0.970222
1.908676,-0.972603,0.970971
1.917808,-0.972603,0.971702
1.926941,-0.972603,0.972416
1.936073,-0.972603,0.973111
1.945205,-0.972603,0.973790
